board_type,board_length,surfer_weight,wave_height_mean,surfer_style,wave_shape
Shortboard,1.7924720930232563,68.0,4.0,Smooth (recreative),Spilling/Plunging
Groveler,1.6764,78.0,5.0,Neutral,"Spilling, Spilling/Plunging, Plunging"
Shortboard,1.6764,58.0,4.0,Agressive (competitive),"Spilling, Spilling/Plunging"
Shortboard,1.7018,77.0,3.0,Neutral,Spilling
Funboard,2.1336,78.0,4.0,Neutral,Plunging
Shortboard,1.8796,75.0,2.0,Smooth (recreative),Spilling
Shortboard,1.8288,49.0,3.0,Neutral,"Spilling, Spilling/Plunging, Plunging"
Shortboard,1.7526,82.0,3.0,Neutral,Spilling/Plunging
All-around,1.905,95.0,4.0,Smooth (recreative),Spilling
All-around,1.9558,70.0,4.0,Neutral,Spilling/Plunging
Groveler,1.6764,78.0,5.0,Neutral,"Spilling, Spilling/Plunging, Plunging"
Groveler,1.6764,78.0,5.0,Neutral,"Spilling, Spilling/Plunging, Plunging"
Groveler,1.6764,78.0,5.0,Neutral,"Spilling, Spilling/Plunging, Plunging"
Fish,1.7380857142857142,63.0,5.0,Neutral,Plunging
Groveler,1.6764,78.0,5.0,Neutral,"Spilling, Spilling/Plunging, Plunging"
Shortboard,1.778,83.5,4.0,Smooth (recreative),Spilling/Plunging
Shortboard,1.778,70.0,4.0,Neutral,Spilling/Plunging
All-around,1.778,78.0,5.0,Neutral,Spilling/Plunging
All-around,1.7526,68.0,5.0,Neutral,Plunging
Shortboard,1.8288,87.0,4.0,Neutral,Spilling/Plunging
Shortboard,1.7526,67.0,3.5,Neutral,"Spilling/Plunging, Plunging"
Shortboard,1.8034,53.0,3.0,Smooth (recreative),Spilling/Plunging
Shortboard,1.7526,75.0,5.0,Neutral,Spilling/Plunging
Shortboard,1.905,85.0,6.0,Agressive (competitive),Spilling/Plunging
Shortboard,1.8034,87.0,6.0,Agressive (competitive),Plunging
Shortboard,1.5494,79.0,5.0,Agressive (competitive),Spilling/Plunging
Shortboard,1.778,85.0,5.0,Neutral,Spilling/Plunging
All-around,1.8288,83.0,4.0,Neutral,"Spilling/Plunging, Plunging"
Shortboard,1.7526,75.0,5.0,Neutral,Spilling/Plunging
Shortboard,1.7526,72.0,4.0,Agressive (competitive),"Spilling/Plunging, Plunging"
All-around,1.8034,75.0,4.0,Smooth (recreative),"Spilling, Spilling/Plunging"
All-around,1.905,100.0,5.0,Agressive (competitive),Spilling/Plunging
Shortboard,1.8796,77.0,5.0,Neutral,Plunging
Shortboard,1.8288,73.0,4.0,I dont know,"Spilling, Spilling/Plunging"
Funboard,2.4384,68.0,3.0,Smooth (recreative),Spilling
Shortboard,1.7924720930232563,100.0,4.5,Neutral,"Spilling/Plunging, Plunging"
Shortboard,1.7526,68.0,3.5,Neutral,"Spilling, Spilling/Plunging, Plunging"
Shortboard,1.8034,67.0,3.5,Neutral,Spilling/Plunging
Shortboard,1.7271999999999998,66.0,5.0,Agressive (competitive),Plunging
All-around,1.7271999999999998,76.0,3.0,Smooth (recreative),Spilling/Plunging
All-around,1.9304,67.0,3.5,Smooth (recreative),"Spilling, Spilling/Plunging"
All-around,1.7526,82.0,3.5,Neutral,"Spilling, Spilling/Plunging"
Shortboard,1.8034,76.0,5.0,Neutral,"Spilling, Spilling/Plunging, Plunging"
Shortboard,1.8034,72.0,3.5,Neutral,Spilling/Plunging
All-around,1.8034,75.0,4.0,Neutral,Spilling/Plunging
All-around,1.7526,74.0,4.0,Neutral,Spilling/Plunging
Shortboard,1.778,72.0,4.5,Neutral,Spilling/Plunging
Shortboard,1.7526,75.0,4.0,Agressive (competitive),Plunging
Shortboard,1.778,74.0,6.0,Neutral,Spilling/Plunging
Shortboard,1.8288,80.0,6.0,Neutral,Plunging
All-around,1.8288,67.0,5.0,Neutral,Plunging
All-around,1.8288,36.0,3.0,Smooth (recreative),"Spilling, Spilling/Plunging"
Shortboard,1.8542,92.0,4.0,Agressive (competitive),Spilling/Plunging
All-around,1.8034,85.0,4.5,Neutral,Spilling/Plunging
Shortboard,1.8542,78.0,4.0,Smooth (recreative),Spilling/Plunging
All-around,1.778,84.0,6.0,Neutral,Spilling/Plunging
Shortboard,1.8288,82.0,4.0,Smooth (recreative),Spilling/Plunging
All-around,1.8034,64.0,5.0,Neutral,Spilling/Plunging
Fish,1.6764,80.0,2.5,Neutral,Spilling/Plunging
Shortboard,1.8288,80.0,3.0,Neutral,Spilling/Plunging
Fish,1.8796,59.0,2.0,Smooth (recreative),Spilling
Shortboard,1.7526,82.0,4.0,Neutral,Spilling/Plunging
Shortboard,1.8034,82.0,3.5,Neutral,"Spilling, Spilling/Plunging"
Shortboard,1.8542,85.0,5.0,Neutral,Plunging
Shortboard,1.8034,66.0,4.0,Neutral,Spilling/Plunging
Shortboard,1.7271999999999998,74.0,3.0,Neutral,"Spilling, Spilling/Plunging"
Shortboard,1.8796,77.0,4.0,Neutral,Spilling/Plunging
Shortboard,1.7526,71.0,4.0,Agressive (competitive),"Spilling/Plunging, Plunging"
Shortboard,1.905,57.0,5.0,Smooth (recreative),Spilling/Plunging
All-around,1.8542,79.0,5.0,Smooth (recreative),Spilling/Plunging
Shortboard,1.8796,83.0,5.5,Neutral,"Spilling/Plunging, Plunging"
Shortboard,1.8034,95.0,5.0,Agressive (competitive),Plunging
Shortboard,1.8796,83.0,3.0,Smooth (recreative),Spilling
Shortboard,1.7526,70.0,4.0,Neutral,Spilling/Plunging
Shortboard,1.8796,80.0,2.5,Smooth (recreative),"Spilling, Spilling/Plunging"
All-around,1.8034,75.0,3.5,Agressive (competitive),"Spilling, Spilling/Plunging"
All-around,1.8034,78.0,4.0,Smooth (recreative),Spilling/Plunging
